time,total_pkt,avg_pkt_size,avg_size_ip,total_src_ip,entropy_src_ip,total_dst_ip,entropy_dst_ip,total_src_prt,entropy_src_prt,total_dst_prt,entropy_dst_prt,entropy_tcp_flag,avg_window_size,color
10,3689,60.4196259149,22288.8,10,1.8162816181,10,0.1633717547,74,4.3040650932,1,0,0,64512,no_attack
20,3285,60.4834094368,19868.8,10,1.8244040538,10,0.1821658641,72,4.276666119,1,0,0,64512,no_attack
30,3453,60.4529394729,20874.4,10,1.801277156,10,0.1745909022,75,4.3174881135,1,0,0,64512,no_attack
40,3201,60.526710403,17613.2727273,11,1.7925860592,11,0.1918916166,76,4.3144545079,2,0.1630236295,0,64512,no_attack
50,3187,60.5208660182,19288,10,1.7705158219,10,0.1923046606,74,4.3040650932,1,0,0,64512,no_attack
60,3544,76.9864559819,10493.8461538,26,2.1165875921,26,0.478160025,105,3.3851878145,29,2.2188020173,1.3999098109,39498.2189189,no_attack
70,8511,366.671836447,44582.0571429,70,2.7870889401,72,1.8333334556,254,3.314872422,176,3.220873583,0.970144038,43589.3817224,no_attack
80,13049,456.108054257,80429.1081081,74,2.6933105708,77,1.8787536063,417,3.4272351219,323,3.5151073595,0.9437341216,44550.9486154,no_attack
90,11621,404.041046382,134153.171429,35,2.4057536111,39,1.5493740226,493,3.5261076945,400,3.5270132662,1.1527782358,35585.4517778,no_attack
100,8093,247.348078586,111210.444444,18,2.0707441701,22,1.1082150794,419,3.6638510652,392,3.4856895408,1.3962433088,32707.2435721,no_attack
110,7690,263.009492848,91933.7727273,22,2.1065712591,23,1.0432702907,432,3.5319191389,321,3.4277789613,1.4212132178,38439.5450196,no_attack
120,5094,214.793678838,64362.2941176,17,2.2247157885,21,0.8975083719,178,3.0649428122,131,3.0386648458,1.3574914994,35163.6107872,no_attack
130,6261,261.390832135,52792.516129,31,2.4050355527,36,1.2462648147,206,3.2286637721,116,2.9678639449,1.0740473138,59109.447728,no_attack
140,11762,377.492178201,130590.088235,34,2.2334232869,40,1.504152354,535,3.8742813553,439,3.6661304506,1.1887003361,32396.8434527,no_attack
150,10266,279.486849795,92555.2258065,31,2.0218615821,34,1.2166590814,650,3.8892235418,560,3.6284712763,1.4714569005,30163.2847136,no_attack
160,7764,215.951313756,88244.5263158,19,1.9178815948,20,0.9607401254,525,3.8572021257,445,3.5777152381,1.5763349815,34328.8777213,no_attack
170,6297,277.144830872,87259.05,20,2.1424677627,24,1.0948516,304,3.4559007475,222,3.2917815978,1.266100825,58360.789694,no_attack
180,6047,205.920456425,77825.0625,16,2.1780072677,18,1.0341980081,305,3.5602225632,230,3.3001843177,1.416355658,21635.8,no_attack
190,4002,128.460769615,22352.173913,23,2.0358518615,25,0.6829053987,176,3.3300739366,96,2.872260986,1.5431552421,36873.8276481,no_attack
200,4019,90.3174919134,16499.3636364,22,2.0867366127,22,0.4830455721,120,3.4372906183,49,2.6894619637,1.5584319483,37367.3631068,no_attack
210,3867,81.7220067236,14364.5,22,2.0160401607,22,0.4359938301,97,3.4871555811,25,2.2105352021,1.4903733778,26256.909375,no_attack
220,3409,60.4529187445,17173.6666667,12,1.8052702382,12,0.1858350429,79,4.3537598107,5,0.3560856314,0.3153962874,62376.8518519,no_attack
230,3394,61.8055391868,17480.6666667,12,1.8611443642,12,0.1907576073,58,4.0153364527,6,0.6033817886,0.4911160492,56367.3870968,no_attack
240,3400,60.4752941176,20561.6,10,1.8575578734,11,0.185242081,72,4.276666119,2,0.1269305453,0.1269305453,63043.1111111,no_attack
250,3584,76.2449776786,14382.2105263,19,1.9955197314,19,0.3627237908,88,3.4514165532,19,1.950741655,1.4864524362,29314.1333333,no_attack
260,3460,64.173699422,18503.4166667,12,1.8826019617,13,0.2058253748,77,4.0899378114,5,0.85713144,0.8210242942,55581.59375,no_attack
270,3472,84.4225230415,13323.4090909,22,2.0880864971,23,0.4618333108,97,3.3788478702,24,2.1198053941,1.5287641416,27809.4497041,no_attack
280,3749,61.9674579888,19359.6666667,12,1.8125581832,12,0.1759526149,74,4.2091693349,6,0.5180493256,0.4251611599,58480.7283951,no_attack
290,3523,61.0502412716,19552.7272727,11,1.865306166,11,0.1873367901,75,4.2675846935,4,0.2960724884,0.2785244585,61160.4556962,no_attack
300,3755,60.948069241,20805.4545455,11,1.8300465715,11,0.1686083225,75,4.312492625,3,0.139933118,0.139933118,63118.4473684,no_attack
310,3756,82.8240149095,16373,19,2.0402111654,19,0.3922822974,94,3.2641481854,23,1.9709734692,1.4342362805,29787.5700935,no_attack
320,3290,60.443768997,16571.6666667,12,1.903720346,13,0.1929754748,78,4.3518998226,4,0.3346539708,0.3455786065,61275.3924051,no_attack
330,4134,74.4453313982,15387.85,20,2.0202723216,20,0.3313355066,87,3.4128262009,20,2.0276554684,1.4808974809,28286.6015326,no_attack
340,3532,60.5277463194,17815.3333333,12,1.9065368476,13,0.1945613615,64,4.1530596643,3,0.2657850763,0.2657850763,60936.4615385,no_attack
350,3654,60.5473453749,22124,10,1.8740482844,11,0.1640083245,32,3.4657359028,2,0.1390607985,0.1390607985,62586.875,no_attack
360,3454,60.4643891141,18985.8181818,11,1.8508420272,11,0.1788881684,75,4.3174881135,2,0.0708105549,0.0708105549,63805.9733333,no_attack
370,3531,70.8465024073,12507.95,20,1.962118124,20,0.3296891744,87,3.4794158455,16,1.7577816684,1.4273285954,32701.1042654,no_attack
380,3655,62.8306429549,13508.5882353,17,1.9426927199,16,0.2285040545,80,3.8515008808,16,1.3750203169,1.1711412503,45297.8,no_attack
390,3849,75.4060795012,14511.9,20,1.9978159559,20,0.3371807079,87,3.5062159513,16,2.0274165607,1.4117730184,29555.2,no_attack
400,3606,60.4270660011,19809.0909091,11,1.8465228257,11,0.1729813289,73,4.2853313856,3,0.1954628549,0.1954628549,62223.1621622,no_attack
410,3707,60.478014567,20381.0909091,11,1.9186719034,11,0.1780459652,72,4.276666119,1,0,0,64512,no_attack
420,3814,60.4195070792,23044,10,1.8313089999,10,0.1604144539,72,4.276666119,1,0,0,64512,no_attack
430,3786,70.8668779715,15782.4705882,17,1.9556326017,17,0.3049005805,88,3.5639374538,14,1.8382663671,1.4055877928,32389.9622642,no_attack
440,3919,66.4223016076,16269.3125,16,1.8934468091,16,0.248997115,85,3.7178673212,18,1.846332499,1.4244655776,38576.0182927,no_attack
450,3938,78.1160487557,14648.6190476,21,2.0478384036,21,0.3830992807,97,3.4224871722,24,2.0366571795,1.513877498,29780.2411576,no_attack
460,3452,60.5463499421,19000.5454545,11,1.8654781121,11,0.1686690645,41,3.7135720667,2,0.1146652822,0,64512,no_attack
470,3814,60.3534347142,23018.8,10,1.827127306,10,0.1696367234,106,4.6634390941,1,0,0,64512,no_attack
480,3137,60.5661459994,17272.3636364,11,1.8966217757,11,0.2014697557,64,4.1588830834,1,0,0,64512,no_attack
490,3470,66.3625360231,15351.8666667,15,1.9294342749,15,0.2434337042,41,3.0427420964,8,1.5690109525,1.3756583526,31182.1648352,no_attack
500,3559,66.858949143,13219.5,18,1.9678282138,18,0.2867044555,76,3.6556488569,13,1.8117599248,1.4180847418,35658.3641975,no_attack
510,3495,74.2492131617,12357.1904762,21,2.0040505246,21,0.3771304013,92,3.6317908812,20,2.0835284663,1.4621261105,29329.9153226,no_attack
520,3195,60.4657276995,19318.8,10,1.8651982204,10,0.1846742912,75,4.3174881135,1,0,0,64512,no_attack
530,3145,60.6740858506,17347.2727273,11,1.9056716983,11,0.195114514,15,2.6593226977,4,0.9257019111,0.8486855577,45493.3333333,no_attack
540,3668,60.4503816794,22173.2,10,1.8828262052,10,0.172138934,75,4.3174881135,1,0,0,64512,no_attack
550,3876,64.7835397317,15693.8125,16,1.9229712168,16,0.231541137,79,3.8831559701,8,1.2973911169,1.1417188809,41771.4435484,no_attack
560,3930,65.3259541985,15101.8235294,17,1.939734044,17,0.2471318696,85,3.765416592,14,1.7938076975,1.4077301293,35712.0242424,no_attack
570,3831,72.7692508483,13938.95,20,2.0464144922,20,0.3361332558,88,3.5433906693,16,1.9298996621,1.5065557165,30563.7682403,no_attack
580,3380,60.4639053254,20436.8,10,1.8886029314,10,0.1689596532,62,4.1271343851,1,0,0,64512,no_attack
590,3563,60.4198708953,19570.5454545,11,1.8549143978,11,0.1811296842,84,4.4263419111,3,0.1751539314,0.1751539314,62502.5176471,no_attack
600,3534,60.4233163554,21353.6,10,1.8336380112,10,0.1677397029,74,4.3040650932,1,0,0,64512,no_attack
610,3506,68.6893896178,15051.5625,16,1.931924879,16,0.2727014796,84,3.6798924677,11,1.6598454583,1.3504165058,34657.9349112,no_attack
620,3981,70.2994222557,15547.8888889,18,1.9881643255,18,0.2751286639,83,3.6051465113,12,1.7952294703,1.3205234135,35364.6721311,no_attack
630,4102,100.685519259,11472.5555556,36,2.1673077392,37,0.5898155339,113,3.1697787812,41,2.2873458225,1.3495358346,31790.4238179,no_attack
640,9506,349.241636861,56269.3389831,59,2.6673319901,61,1.6891415631,357,3.5191518282,275,3.2369191441,1.1432463297,31040.2659645,no_attack
650,8724,330.679619441,84848.5,34,2.4530737876,40,1.3183165895,325,3.2775355453,244,3.2266783298,1.2099206714,42389.3720617,no_attack
660,7357,202.93298899,82943.2222222,18,2.264498742,23,1.0259188631,379,3.6268546381,288,3.3745238028,1.3761582362,29254.0645511,no_attack
670,8110,275.781134402,86022.5,26,2.2849076047,31,1.1142257855,382,3.524356881,303,3.3868340269,1.3061984225,29062.9989175,no_attack
680,5697,186.551869405,46208.0869565,23,2.190921551,26,0.7394276304,200,3.3086483516,134,3.0371760414,1.2461734772,17233.09349,no_attack
690,4515,144.153045404,28297.8695652,23,2.1654346373,26,0.5429488125,105,2.8873148,29,2.2903968886,1.0619240402,42287.0694823,no_attack
700,5767,339.420669325,88974.5,22,2.2512783433,28,0.7623774592,138,2.3143880555,48,2.5489761051,0.8372599999,26583.4496403,no_attack
