time,total_pkt,avg_pkt_size,avg_size_ip,total_src_ip,entropy_src_ip,total_dst_ip,entropy_dst_ip,total_src_prt,entropy_src_prt,total_dst_prt,entropy_dst_prt,entropy_tcp_flag,avg_window_size,color
10,8572,237.9023305,4416.191304,468,0.691812342,477,0.699581637,435,0.615014814,426,0.642023258,0.492390908,15475.16071,no_attack
20,9115,260.2236886,4939.903967,487,0.698711132,487,0.70690083,469,0.620290733,448,0.647422156,0.525076744,15893.47508,no_attack
30,8936,227.2310972,4219.870833,491,0.674458516,483,0.682707002,454,0.610210847,435,0.630851639,0.507698186,15371.25573,no_attack
40,10571,246.9913284,4955.883365,544,0.67891679,543,0.688848634,495,0.610685215,478,0.636206891,0.544580818,15374.16323,no_attack
50,9024,225.7074444,4474.376652,462,0.658143734,460,0.671968586,438,0.591987387,416,0.623797516,0.515079225,15150.95576,no_attack
60,9977,260.7628669,5868.934389,453,0.68725086,451,0.69852782,444,0.611201791,422,0.646876998,0.501235069,16568.0355,no_attack
70,11090,313.195049,7492.223427,471,0.672243049,477,0.685617002,483,0.599339486,454,0.630708999,0.512620561,16825.56828,no_attack
80,10726,333.318233,7776.452954,465,0.687579199,472,0.706464199,470,0.611999973,435,0.6413099,0.509403421,17357.44977,no_attack
90,9640,294.9693463,6123.487013,471,0.68464079,476,0.706007871,467,0.615605627,428,0.646785705,0.508931098,17807.73424,no_attack
100,10878,294.0341203,6301.395257,517,0.695047784,516,0.709200754,537,0.619033498,518,0.646657483,0.588617594,16950.28528,no_attack
110,8756,258.054414,4918.844639,467,0.698222856,467,0.709331831,436,0.619792406,410,0.643595507,0.525351844,16386.0564,no_attack
120,8587,219.6514886,3433.056569,556,0.696646418,556,0.700834835,473,0.627571978,451,0.648177436,0.54518513,15388.85877,no_attack
130,9141,243.8372833,4639.526096,489,0.702817885,497,0.705148602,465,0.632709298,446,0.640965407,0.552851102,15659.50798,no_attack
140,9172,226.6406524,4452.87957,472,0.698193029,465,0.701837553,461,0.629405232,434,0.652282564,0.480124189,15668.43933,no_attack
