time,total_pkt,avg_pkt_size,avg_size_ip,total_src_ip,entropy_src_ip,total_dst_ip,entropy_dst_ip,total_src_prt,entropy_src_prt,total_dst_prt,entropy_dst_prt,entropy_tcp_flag,avg_window_size,color
10,3689,60.41962591,22288.8,10,1.816281618,10,0.163371755,74,4.304065093,1,0,0,64512,no_attack
20,3285,60.48340944,19868.8,10,1.824404054,10,0.182165864,72,4.276666119,1,0,0,64512,no_attack
30,3453,60.45293947,20874.4,10,1.801277156,10,0.174590902,75,4.317488114,1,0,0,64512,no_attack
40,3201,60.5267104,17613.27273,11,1.792586059,11,0.191891617,76,4.314454508,2,0.16302363,0,64512,no_attack
50,3187,60.52086602,19288,10,1.770515822,10,0.192304661,74,4.304065093,1,0,0,64512,no_attack
60,3544,76.98645598,10493.84615,26,2.116587592,26,0.478160025,105,3.385187815,29,2.218802017,1.399909811,39498.21892,no_attack
70,8511,366.6718364,44582.05714,70,2.78708894,72,1.833333456,254,3.314872422,176,3.220873583,0.970144038,43589.38172,no_attack
80,13049,456.1080543,80429.10811,74,2.693310571,77,1.878753606,417,3.427235122,323,3.51510736,0.943734122,44550.94862,no_attack
90,11621,404.0410464,134153.1714,35,2.405753611,39,1.549374023,493,3.526107695,400,3.527013266,1.152778236,35585.45178,no_attack
100,8093,247.3480786,111210.4444,18,2.07074417,22,1.108215079,419,3.663851065,392,3.485689541,1.396243309,32707.24357,no_attack
110,7690,263.0094928,91933.77273,22,2.106571259,23,1.043270291,432,3.531919139,321,3.427778961,1.421213218,38439.54502,no_attack
120,5094,214.7936788,64362.29412,17,2.224715789,21,0.897508372,178,3.064942812,131,3.038664846,1.357491499,35163.61079,no_attack
130,6261,261.3908321,52792.51613,31,2.405035553,36,1.246264815,206,3.228663772,116,2.967863945,1.074047314,59109.44773,no_attack
140,11762,377.4921782,130590.0882,34,2.233423287,40,1.504152354,535,3.874281355,439,3.666130451,1.188700336,32396.84345,no_attack
150,10266,279.4868498,92555.22581,31,2.021861582,34,1.216659081,650,3.889223542,560,3.628471276,1.471456901,30163.28471,no_attack
160,7764,215.9513138,88244.52632,19,1.917881595,20,0.960740125,525,3.857202126,445,3.577715238,1.576334982,34328.87772,no_attack
170,6297,277.1448309,87259.05,20,2.142467763,24,1.0948516,304,3.455900748,222,3.291781598,1.266100825,58360.78969,no_attack
180,6047,205.9204564,77825.0625,16,2.178007268,18,1.034198008,305,3.560222563,230,3.300184318,1.416355658,21635.8,no_attack
190,4002,128.4607696,22352.17391,23,2.035851862,25,0.682905399,176,3.330073937,96,2.872260986,1.543155242,36873.82765,no_attack
200,4019,90.31749191,16499.36364,22,2.086736613,22,0.483045572,120,3.437290618,49,2.689461964,1.558431948,37367.36311,no_attack
210,3867,81.72200672,14364.5,22,2.016040161,22,0.43599383,97,3.487155581,25,2.210535202,1.490373378,26256.90938,no_attack
220,3409,60.45291874,17173.66667,12,1.805270238,12,0.185835043,79,4.353759811,5,0.356085631,0.315396287,62376.85185,no_attack
230,3394,61.80553919,17480.66667,12,1.861144364,12,0.190757607,58,4.015336453,6,0.603381789,0.491116049,56367.3871,no_attack
240,3400,60.47529412,20561.6,10,1.857557873,11,0.185242081,72,4.276666119,2,0.126930545,0.126930545,63043.11111,no_attack
250,3584,76.24497768,14382.21053,19,1.995519731,19,0.362723791,88,3.451416553,19,1.950741655,1.486452436,29314.13333,no_attack
260,3460,64.17369942,18503.41667,12,1.882601962,13,0.205825375,77,4.089937811,5,0.85713144,0.821024294,55581.59375,no_attack
270,3472,84.42252304,13323.40909,22,2.088086497,23,0.461833311,97,3.37884787,24,2.119805394,1.528764142,27809.4497,no_attack
280,3749,61.96745799,19359.66667,12,1.812558183,12,0.175952615,74,4.209169335,6,0.518049326,0.42516116,58480.7284,no_attack
290,3523,61.05024127,19552.72727,11,1.865306166,11,0.18733679,75,4.267584694,4,0.296072488,0.278524459,61160.4557,no_attack
300,3755,60.94806924,20805.45455,11,1.830046572,11,0.168608323,75,4.312492625,3,0.139933118,0.139933118,63118.44737,no_attack
310,3756,82.82401491,16373,19,2.040211165,19,0.392282297,94,3.264148185,23,1.970973469,1.434236281,29787.57009,no_attack
320,3290,60.443769,16571.66667,12,1.903720346,13,0.192975475,78,4.351899823,4,0.334653971,0.345578607,61275.39241,no_attack
330,4134,74.4453314,15387.85,20,2.020272322,20,0.331335507,87,3.412826201,20,2.027655468,1.480897481,28286.60153,no_attack
340,3532,60.52774632,17815.33333,12,1.906536848,13,0.194561362,64,4.153059664,3,0.265785076,0.265785076,60936.46154,no_attack
350,3654,60.54734537,22124,10,1.874048284,11,0.164008325,32,3.465735903,2,0.139060799,0.139060799,62586.875,no_attack
360,3454,60.46438911,18985.81818,11,1.850842027,11,0.178888168,75,4.317488114,2,0.070810555,0.070810555,63805.97333,no_attack
370,3531,70.84650241,12507.95,20,1.962118124,20,0.329689174,87,3.479415846,16,1.757781668,1.427328595,32701.10427,no_attack
380,3655,62.83064295,13508.58824,17,1.94269272,16,0.228504055,80,3.851500881,16,1.375020317,1.17114125,45297.8,no_attack
390,3849,75.4060795,14511.9,20,1.997815956,20,0.337180708,87,3.506215951,16,2.027416561,1.411773018,29555.2,no_attack
400,3606,60.427066,19809.09091,11,1.846522826,11,0.172981329,73,4.285331386,3,0.195462855,0.195462855,62223.16216,no_attack
410,3707,60.47801457,20381.09091,11,1.918671903,11,0.178045965,72,4.276666119,1,0,0,64512,no_attack
420,3814,60.41950708,23044,10,1.831309,10,0.160414454,72,4.276666119,1,0,0,64512,no_attack
430,3786,70.86687797,15782.47059,17,1.955632602,17,0.304900581,88,3.563937454,14,1.838266367,1.405587793,32389.96226,no_attack
440,3919,66.42230161,16269.3125,16,1.893446809,16,0.248997115,85,3.717867321,18,1.846332499,1.424465578,38576.01829,no_attack
450,3938,78.11604876,14648.61905,21,2.047838404,21,0.383099281,97,3.422487172,24,2.03665718,1.513877498,29780.24116,no_attack
460,3452,60.54634994,19000.54545,11,1.865478112,11,0.168669065,41,3.713572067,2,0.114665282,0,64512,no_attack
470,3814,60.35343471,23018.8,10,1.827127306,10,0.169636723,106,4.663439094,1,0,0,64512,no_attack
480,3137,60.566146,17272.36364,11,1.896621776,11,0.201469756,64,4.158883083,1,0,0,64512,no_attack
490,3470,66.36253602,15351.86667,15,1.929434275,15,0.243433704,41,3.042742096,8,1.569010953,1.375658353,31182.16484,no_attack
500,3559,66.85894914,13219.5,18,1.967828214,18,0.286704456,76,3.655648857,13,1.811759925,1.418084742,35658.3642,no_attack
510,3495,74.24921316,12357.19048,21,2.004050525,21,0.377130401,92,3.631790881,20,2.083528466,1.462126111,29329.91532,no_attack
520,3195,60.4657277,19318.8,10,1.86519822,10,0.184674291,75,4.317488114,1,0,0,64512,no_attack
530,3145,60.67408585,17347.27273,11,1.905671698,11,0.195114514,15,2.659322698,4,0.925701911,0.848685558,45493.33333,no_attack
540,3668,60.45038168,22173.2,10,1.882826205,10,0.172138934,75,4.317488114,1,0,0,64512,no_attack
550,3876,64.78353973,15693.8125,16,1.922971217,16,0.231541137,79,3.88315597,8,1.297391117,1.141718881,41771.44355,no_attack
560,3930,65.3259542,15101.82353,17,1.939734044,17,0.24713187,85,3.765416592,14,1.793807698,1.407730129,35712.02424,no_attack
570,3831,72.76925085,13938.95,20,2.046414492,20,0.336133256,88,3.543390669,16,1.929899662,1.506555717,30563.76824,no_attack
580,3380,60.46390533,20436.8,10,1.888602931,10,0.168959653,62,4.127134385,1,0,0,64512,no_attack
590,3563,60.4198709,19570.54545,11,1.854914398,11,0.181129684,84,4.426341911,3,0.175153931,0.175153931,62502.51765,no_attack
600,3534,60.42331636,21353.6,10,1.833638011,10,0.167739703,74,4.304065093,1,0,0,64512,no_attack
610,3506,68.68938962,15051.5625,16,1.931924879,16,0.27270148,84,3.679892468,11,1.659845458,1.350416506,34657.93491,no_attack
620,3981,70.29942226,15547.88889,18,1.988164326,18,0.275128664,83,3.605146511,12,1.79522947,1.320523414,35364.67213,no_attack
630,4102,100.6855193,11472.55556,36,2.167307739,37,0.589815534,113,3.169778781,41,2.287345823,1.349535835,31790.42382,no_attack
