time,total_pkt,avg_pkt_size,avg_size_ip,total_src_ip,entropy_src_ip,total_dst_ip,entropy_dst_ip,total_src_prt,entropy_src_prt,total_dst_prt,entropy_dst_prt,entropy_tcp_flag,avg_window_size,color
10,5393,491.6663525,13240.05076,209,0.741926072,213,0.741283031,208,0.672347397,196,0.688282945,0.579267246,17694.71489,no_attack
20,5578,488.7289091,12619.76056,224,0.724363509,229,0.721296378,217,0.672468674,194,0.695229465,0.545011,17354.73542,no_attack
30,6661,461.8093793,12625.9834,252,0.730017096,261,0.732337061,270,0.667121947,256,0.672082234,0.630810149,17112.5126,no_attack
40,6792,470.349256,14909.18396,227,0.716426383,233,0.715012386,288,0.64712718,274,0.663771454,0.656766563,17404.01044,no_attack
50,4778,484.4229299,11295.20792,216,0.774157998,233,0.759327611,234,0.672961797,211,0.704064918,0.621239553,18210.92987,no_attack
60,4928,361.7687384,7551.922414,249,0.7637726,238,0.760184266,321,0.695696305,227,0.716182664,0.641666866,18327.79068,no_attack
70,4290,386.0749232,6950.991489,250,0.793969649,238,0.772681482,337,0.70961808,208,0.73080847,0.662898017,17934.28888,no_attack
80,8186,272.6433058,10154.08716,231,0.680652533,231,0.678634365,286,0.632871396,262,0.64094547,0.486411864,17894.21706,no_attack
90,9853,306.1690688,12966.45887,242,0.647972876,250,0.643086878,253,0.613216613,231,0.62497173,0.388083995,17896.02479,no_attack
100,4978,401.9814588,9350.35545,228,0.758095116,228,0.757576452,233,0.712443762,216,0.722700705,0.626994633,18041.01039,no_attack
110,4729,468.2149331,9952.788991,234,0.75636784,241,0.746416309,213,0.685048406,194,0.717037578,0.58063139,19697.35468,no_attack
120,5007,505.599837,10604.63248,252,0.743128736,261,0.735812972,229,0.664553255,207,0.699968496,0.589097379,20298.59609,no_attack
130,5641,455.3409213,11706.6682,233,0.749425651,233,0.744102089,255,0.659968173,241,0.694536386,0.671760736,18960.50532,no_attack
140,5916,361.753698,9347.715556,241,0.771325402,254,0.767868818,289,0.694416635,264,0.693570697,0.635974579,19394.68863,no_attack
150,4723,417.8168893,8620.026667,236,0.789291642,247,0.780599166,245,0.71073961,218,0.728536033,0.610738855,18812.74279,no_attack
160,4478,377.0657298,7393.84,237,0.790205624,248,0.789676058,265,0.717650269,239,0.728361284,0.654093669,17748.61041,no_attack
170,5801,379.1367297,9415.778261,245,0.782366904,255,0.768412639,285,0.68515343,261,0.718329237,0.647902809,17874.87164,no_attack
180,5643,395.6703616,9034.746888,262,0.771080623,273,0.770689339,266,0.696828612,232,0.718768357,0.616458162,18942.1489,no_attack
190,5193,417.205813,9156.948276,246,0.795045185,258,0.782779987,259,0.711771008,233,0.725798648,0.629528526,18863.20259,no_attack
200,6519,510.157419,13810.84388,253,0.746405639,264,0.740927577,276,0.673874906,246,0.695338151,0.587403291,17930.02573,no_attack
210,5762,429.8360656,10934.79821,237,0.778274306,249,0.773139438,300,0.69684719,267,0.719492558,0.645275439,20110.49871,no_attack
