time,total_pkt,avg_pkt_size,avg_size_ip,total_src_ip,entropy_src_ip,total_dst_ip,entropy_dst_ip,total_src_prt,entropy_src_prt,total_dst_prt,entropy_dst_prt,entropy_tcp_flag,avg_window_size
10,8293,459.571532758,12118.2532051,326,0.612349383256,331,0.607943893648,291,0.579516454592,246,0.586132658812,0.278637781515,20285.244242
20,6890,387.684492775,8704.10033445,312,0.684612313953,313,0.688529783476,283,0.641132254891,243,0.653841229389,0.326309920734,19417.4399812
30,10109,563.221978022,19575.875,304,0.570272768613,311,0.565665938443,268,0.543557002268,235,0.55054570546,0.291328186036,19678.6492206
40,5886,393.988140254,7515.4852459,321,0.691108467697,326,0.689245071067,273,0.65024019953,244,0.654523252376,0.40485722662,18318.1047931
50,8680,435.731372777,12453.8106312,317,0.641141435381,325,0.643452498845,278,0.592026092744,246,0.612433418731,0.349012418232,19655.8549166
60,10856,545.199592291,20081.2081911,309,0.574074378179,330,0.569445494233,282,0.527065957197,243,0.539701446536,0.301315435506,20554.5766256
70,11050,560.14139288,20334.4352159,319,0.580131658245,327,0.577752417849,277,0.526696416847,244,0.544469620696,0.344915522164,20369.0882963
80,7027,383.61321031,8789.63422819,311,0.700134985367,322,0.699924510415,285,0.643792198914,247,0.658819434908,0.378816647798,17329.7152746
90,6593,398.833768227,8019.75925926,334,0.70818680932,353,0.697475413778,322,0.672514140135,278,0.671528530287,0.538850018212,13551.6084691
100,17842,759.331214491,42989.2707006,328,0.431105835234,335,0.42839457443,304,0.421855541358,263,0.431927034909,0.443252861405,11756.5224147
110,6501,414.835435155,8793.68976898,319,0.704851918622,328,0.705456407714,280,0.683578355999,252,0.685856633357,0.509233936764,14869.2049005
120,4794,246.023960984,3919.76013514,314,0.740384327295,321,0.736927700798,268,0.703024782406,237,0.71181886189,0.467103968359,15524.1897342
130,5839,254.69218804,4995.42033898,310,0.736970861743,313,0.731716523977,271,0.689369092446,237,0.698766520452,0.394767884324,16807.0976059
140,8819,376.285746995,10207.6273292,335,0.599726645664,350,0.599563698087,278,0.578799694452,243,0.586443845743,0.276278300588,20481.1748574
150,8580,410.410325767,9970.62571429,363,0.667677394193,372,0.663038210813,336,0.635896705387,286,0.640834127411,0.334590441225,19431.9191521
160,5566,216.63611516,3624.69207317,343,0.742065615715,360,0.745978169096,310,0.711093614986,261,0.714031517498,0.44380206464,15620.4754321
170,4717,245.047177941,3611.13968254,332,0.762357601375,345,0.752645497035,282,0.718964854383,242,0.724493702106,0.422569501048,15169.2440448
180,4844,310.870625,4535.49848024,339,0.773883916372,340,0.769296434343,308,0.71584405079,267,0.71995852131,0.52875060736,15420.2315003
190,5901,438.385077187,8062.41324921,330,0.744098128979,344,0.732983059351,298,0.687227791806,268,0.699311903917,0.522909679648,15788.7943223
200,4872,300.421281892,4442.73312883,335,0.774045140867,344,0.767078665943,310,0.722583013592,268,0.727721425296,0.480632799431,17093.2999095
210,5458,257.989981447,4345.51875,332,0.754951873939,343,0.754808695023,293,0.714725376378,242,0.717256568114,0.447413271687,15094.1580956
220,4727,212.141971349,3149.8031746,327,0.752181919936,332,0.753337975618,280,0.710598093578,247,0.715106100781,0.414320349332,15540.1874855
230,5172,229.631176471,3637.01552795,339,0.765179732205,346,0.759982327786,304,0.716281412069,266,0.718526188401,0.464156747417,15282.9997893
240,4062,224.249378419,3120.86851211,300,0.770057842112,302,0.775706964461,297,0.716489271903,261,0.717682554591,0.535577067297,15346.9349097
